date_rptd,count,y_hat,crimen,zona
2020-11-12,37.0,37.0,104,1
2020-11-13,33.0,34.0,104,1
2020-11-14,37.0,38.0,104,1
2020-11-15,28.0,29.0,104,1
2020-11-16,42.0,43.0,104,1
2020-11-17,42.0,41.0,104,1
2020-11-18,28.0,28.0,104,1
2020-11-19,35.0,34.0,104,1
2020-11-20,29.0,29.0,104,1
2020-11-21,29.0,30.0,104,1
2020-11-22,28.0,29.0,104,1
2020-11-23,42.0,42.0,104,1
2020-11-24,34.0,34.0,104,1
2020-11-25,33.0,34.0,104,1
2020-11-26,30.0,29.0,104,1
2020-11-27,26.0,26.0,104,1
2020-11-28,33.0,34.0,104,1
2020-11-29,25.0,26.0,104,1
2020-11-30,35.0,36.0,104,1
2020-12-01,28.0,28.0,104,1
2020-12-02,33.0,33.0,104,1
2020-12-03,35.0,35.0,104,1
2020-12-04,25.0,25.0,104,1
2020-12-05,25.0,26.0,104,1
2020-12-06,38.0,37.0,104,1
2020-12-07,34.0,35.0,104,1
2020-12-08,32.0,32.0,104,1
2020-12-09,32.0,32.0,104,1
2020-12-10,41.0,41.0,104,1
2020-12-11,22.0,22.0,104,1
2020-12-12,26.0,27.0,104,1
2020-12-13,30.0,29.0,104,1
2020-12-14,27.0,27.0,104,1
2020-12-15,34.0,33.0,104,1
2020-12-16,33.0,32.0,104,1
2020-12-17,26.0,27.0,104,1
2020-12-18,28.0,28.0,104,1
2020-12-19,19.0,20.0,104,1
2020-12-20,30.0,30.0,104,1
2020-12-21,48.0,47.0,104,1
2020-12-22,43.0,43.0,104,1
2020-12-23,36.0,36.0,104,1
2020-12-24,23.0,24.0,104,1
2020-12-25,29.0,28.0,104,1
2020-12-26,19.0,19.0,104,1
2020-12-27,25.0,25.0,104,1
2020-12-28,30.0,29.0,104,1
2020-12-29,36.0,36.0,104,1
2020-12-30,49.0,48.0,104,1
2020-12-31,28.0,29.0,104,1
2021-01-01,31.0,32.0,104,1
2021-01-02,27.0,27.0,104,1
2021-01-03,35.0,34.0,104,1
2021-01-04,41.0,40.0,104,1
2021-01-05,28.0,28.0,104,1
2021-01-06,34.0,34.0,104,1
2021-01-07,32.0,32.0,104,1
2021-01-08,37.0,37.0,104,1
2021-01-09,16.0,17.0,104,1
2021-01-10,23.0,24.0,104,1
2021-01-11,43.0,42.0,104,1
2021-01-12,43.0,42.0,104,1
2021-01-13,37.0,37.0,104,1
2021-01-14,32.0,32.0,104,1
2021-01-15,36.0,37.0,104,1
2021-01-16,21.0,22.0,104,1
2021-01-17,33.0,32.0,104,1
2021-01-18,37.0,37.0,104,1
2021-01-19,43.0,43.0,104,1
2021-01-20,37.0,37.0,104,1
2021-01-21,26.0,25.0,104,1
2021-01-22,57.0,57.0,104,1
2021-01-23,35.0,36.0,104,1
2021-01-24,23.0,24.0,104,1
2021-01-25,30.0,30.0,104,1
2021-01-26,44.0,42.0,104,1
2021-01-27,29.0,29.0,104,1
2021-01-28,36.0,36.0,104,1
2021-01-29,30.0,31.0,104,1
2021-01-30,47.0,47.0,104,1
2021-01-31,31.0,31.0,104,1
2021-02-01,40.0,40.0,104,1
2021-02-02,32.0,32.0,104,1
2021-02-03,32.0,32.0,104,1
2021-02-04,32.0,31.0,104,1
2021-02-05,30.0,30.0,104,1
2021-02-06,31.0,32.0,104,1
2021-02-07,30.0,31.0,104,1
2021-02-08,54.0,54.0,104,1
2021-02-09,24.0,25.0,104,1
2021-02-10,35.0,35.0,104,1
2021-02-11,49.0,48.0,104,1
2021-02-12,30.0,30.0,104,1
2021-02-13,28.0,28.0,104,1
2021-02-14,51.0,50.0,104,1
2021-02-15,44.0,45.0,104,1
2021-02-16,42.0,42.0,104,1
2021-02-17,24.0,25.0,104,1
2021-02-18,62.0,61.0,104,1
2021-02-19,42.0,42.0,104,1
2021-02-20,30.0,31.0,104,1
2021-02-21,29.0,29.0,104,1
2021-02-22,40.0,40.0,104,1
2021-02-23,29.0,29.0,104,1
2021-02-24,40.0,40.0,104,1
2021-02-25,32.0,34.0,104,1
2021-02-26,41.0,42.0,104,1
